district,crop_name,season_type,season_year,target_hectares,committed_hectares,source
Ampara,Carrot,Maha,2014,96.9,100.5,synthetic_proxy
Anuradhapura,Carrot,Maha,2014,90.0,78.8,synthetic_proxy
Badulla,Carrot,Maha,2014,228.7,249.3,synthetic_proxy
Batticaloa,Carrot,Maha,2014,42.8,47.6,synthetic_proxy
Colombo,Carrot,Maha,2014,212.7,162.9,synthetic_proxy
Galle,Carrot,Maha,2014,50.8,42.8,synthetic_proxy
Gampaha,Carrot,Maha,2014,85.3,86.6,synthetic_proxy
Hambantota,Carrot,Maha,2014,146.2,140.7,synthetic_proxy
Jaffna,Carrot,Maha,2014,69.5,69.3,synthetic_proxy
Kalutara,Carrot,Maha,2014,51.2,46.0,synthetic_proxy
Kandy,Carrot,Maha,2014,106.8,118.1,synthetic_proxy
Kegalle,Carrot,Maha,2014,55.2,60.4,synthetic_proxy
Kilinochchi,Carrot,Maha,2014,40.1,40.5,synthetic_proxy
Kurunegala,Carrot,Maha,2014,192.0,218.0,synthetic_proxy
Mannar,Carrot,Maha,2014,48.2,50.9,synthetic_proxy
Matale,Carrot,Maha,2014,126.7,113.6,synthetic_proxy
Matara,Carrot,Maha,2014,71.2,74.4,synthetic_proxy
Monaragala,Carrot,Maha,2014,70.3,62.2,synthetic_proxy
Mullaitivu,Carrot,Maha,2014,41.1,45.4,synthetic_proxy
Nuwara Eliya,Carrot,Maha,2014,146.0,145.1,synthetic_proxy
Polonnaruwa,Carrot,Maha,2014,49.4,48.3,synthetic_proxy
Puttalam,Carrot,Maha,2014,56.3,51.7,synthetic_proxy
Ratnapura,Carrot,Maha,2014,134.4,154.1,synthetic_proxy
Trincomalee,Carrot,Maha,2014,42.0,41.2,synthetic_proxy
Vavuniya,Carrot,Maha,2014,46.1,43.8,synthetic_proxy
Ampara,Carrot,Maha,2015,79.4,76.0,synthetic_proxy
Anuradhapura,Carrot,Maha,2015,73.7,78.4,synthetic_proxy
Badulla,Carrot,Maha,2015,187.2,195.4,synthetic_proxy
Batticaloa,Carrot,Maha,2015,35.0,36.7,synthetic_proxy
Colombo,Carrot,Maha,2015,174.2,183.2,synthetic_proxy
Galle,Carrot,Maha,2015,41.6,52.2,synthetic_proxy
Gampaha,Carrot,Maha,2015,69.9,66.5,synthetic_proxy
Hambantota,Carrot,Maha,2015,119.7,112.3,synthetic_proxy
Jaffna,Carrot,Maha,2015,56.9,51.3,synthetic_proxy
Kalutara,Carrot,Maha,2015,41.9,45.0,synthetic_proxy
Kandy,Carrot,Maha,2015,87.5,99.3,synthetic_proxy
Kegalle,Carrot,Maha,2015,45.2,44.6,synthetic_proxy
Kilinochchi,Carrot,Maha,2015,32.9,29.6,synthetic_proxy
Kurunegala,Carrot,Maha,2015,157.2,141.7,synthetic_proxy
Mannar,Carrot,Maha,2015,39.5,42.6,synthetic_proxy
Matale,Carrot,Maha,2015,103.7,113.0,synthetic_proxy
Matara,Carrot,Maha,2015,58.3,62.1,synthetic_proxy
Monaragala,Carrot,Maha,2015,57.5,52.9,synthetic_proxy
Mullaitivu,Carrot,Maha,2015,33.7,34.6,synthetic_proxy
Nuwara Eliya,Carrot,Maha,2015,119.6,121.2,synthetic_proxy
Polonnaruwa,Carrot,Maha,2015,40.4,41.5,synthetic_proxy
Puttalam,Carrot,Maha,2015,46.1,51.0,synthetic_proxy
Ratnapura,Carrot,Maha,2015,110.0,113.0,synthetic_proxy
Trincomalee,Carrot,Maha,2015,34.4,37.2,synthetic_proxy
Vavuniya,Carrot,Maha,2015,37.8,38.1,synthetic_proxy
Ampara,Carrot,Yala,2015,85.2,88.2,synthetic_proxy
Anuradhapura,Carrot,Yala,2015,79.2,85.2,synthetic_proxy
Badulla,Carrot,Yala,2015,201.1,165.9,synthetic_proxy
Batticaloa,Carrot,Yala,2015,37.6,36.2,synthetic_proxy
Colombo,Carrot,Yala,2015,187.1,176.5,synthetic_proxy
Galle,Carrot,Yala,2015,44.6,41.2,synthetic_proxy
Gampaha,Carrot,Yala,2015,75.1,72.6,synthetic_proxy
Hambantota,Carrot,Yala,2015,128.6,151.7,synthetic_proxy
Jaffna,Carrot,Yala,2015,61.1,54.8,synthetic_proxy
Kalutara,Carrot,Yala,2015,45.0,50.3,synthetic_proxy
Kandy,Carrot,Yala,2015,94.0,75.0,synthetic_proxy
Kegalle,Carrot,Yala,2015,48.6,46.6,synthetic_proxy
Kilinochchi,Carrot,Yala,2015,35.3,36.0,synthetic_proxy
Kurunegala,Carrot,Yala,2015,168.9,180.7,synthetic_proxy
Mannar,Carrot,Yala,2015,42.4,46.0,synthetic_proxy
Matale,Carrot,Yala,2015,111.4,122.0,synthetic_proxy
Matara,Carrot,Yala,2015,62.6,60.0,synthetic_proxy
Monaragala,Carrot,Yala,2015,61.8,58.4,synthetic_proxy
Mullaitivu,Carrot,Yala,2015,36.1,39.9,synthetic_proxy
Nuwara Eliya,Carrot,Yala,2015,128.4,125.5,synthetic_proxy
Polonnaruwa,Carrot,Yala,2015,43.4,36.8,synthetic_proxy
Puttalam,Carrot,Yala,2015,49.6,42.8,synthetic_proxy
Ratnapura,Carrot,Yala,2015,118.2,105.1,synthetic_proxy
Trincomalee,Carrot,Yala,2015,36.9,39.1,synthetic_proxy
Vavuniya,Carrot,Yala,2015,40.6,41.3,synthetic_proxy
Ampara,Carrot,Maha,2016,73.9,80.0,synthetic_proxy
Anuradhapura,Carrot,Maha,2016,68.6,65.1,synthetic_proxy
Badulla,Carrot,Maha,2016,174.3,177.7,synthetic_proxy
Batticaloa,Carrot,Maha,2016,32.6,35.0,synthetic_proxy
Colombo,Carrot,Maha,2016,162.2,156.2,synthetic_proxy
Galle,Carrot,Maha,2016,38.7,40.8,synthetic_proxy
Gampaha,Carrot,Maha,2016,65.1,59.9,synthetic_proxy
Hambantota,Carrot,Maha,2016,111.5,106.6,synthetic_proxy
Jaffna,Carrot,Maha,2016,53.0,50.6,synthetic_proxy
Kalutara,Carrot,Maha,2016,39.0,33.4,synthetic_proxy
Kandy,Carrot,Maha,2016,81.5,86.2,synthetic_proxy
Kegalle,Carrot,Maha,2016,42.1,39.7,synthetic_proxy
Kilinochchi,Carrot,Maha,2016,30.6,30.7,synthetic_proxy
Kurunegala,Carrot,Maha,2016,146.4,154.8,synthetic_proxy
Mannar,Carrot,Maha,2016,36.8,38.8,synthetic_proxy
Matale,Carrot,Maha,2016,96.6,104.3,synthetic_proxy
Matara,Carrot,Maha,2016,54.3,53.7,synthetic_proxy
