season_type,season_year,district,crop,avg_retail_price,committed_hectares,source
Yala,2014,Nuwara Eliya,Carrot,170.45,271.9,dummy
Yala,2014,Badulla,Carrot,179.44,577.1,dummy
Yala,2014,Kandy,Carrot,174.55,287.4,dummy
Yala,2014,Kurunegala,Carrot,189.41,398.5,dummy
Yala,2014,Matale,Carrot,192.6,523.4,dummy
Maha,2014,Nuwara Eliya,Carrot,143.49,490.3,dummy
Maha,2014,Badulla,Carrot,150.34,617.3,dummy
Maha,2014,Kandy,Carrot,145.58,584.9,dummy
Maha,2014,Kurunegala,Carrot,149.55,683.8,dummy
Maha,2014,Matale,Carrot,148.06,594.4,dummy
Yala,2015,Nuwara Eliya,Carrot,188.65,268.0,dummy
Yala,2015,Badulla,Carrot,180.92,509.9,dummy
Yala,2015,Kandy,Carrot,177.16,338.3,dummy
Yala,2015,Kurunegala,Carrot,195.1,397.2,dummy
Yala,2015,Matale,Carrot,176.92,258.1,dummy
Maha,2015,Nuwara Eliya,Carrot,191.54,395.9,dummy
Maha,2015,Badulla,Carrot,188.64,562.8,dummy
Maha,2015,Kandy,Carrot,188.52,374.9,dummy
Maha,2015,Kurunegala,Carrot,188.56,499.6,dummy
Maha,2015,Matale,Carrot,187.11,295.7,dummy
Yala,2016,Nuwara Eliya,Carrot,172.23,561.6,dummy
Yala,2016,Badulla,Carrot,169.43,446.8,dummy
Yala,2016,Kandy,Carrot,188.11,298.1,dummy
Yala,2016,Kurunegala,Carrot,183.5,544.4,dummy
Yala,2016,Matale,Carrot,172.09,496.4,dummy
Maha,2016,Nuwara Eliya,Carrot,187.78,467.2,dummy
Maha,2016,Badulla,Carrot,176.44,234.1,dummy
Maha,2016,Kandy,Carrot,178.88,315.2,dummy
Maha,2016,Kurunegala,Carrot,170.38,597.0,dummy
Maha,2016,Matale,Carrot,185.1,246.3,dummy
Yala,2017,Nuwara Eliya,Carrot,181.46,475.9,dummy
Yala,2017,Badulla,Carrot,177.25,524.2,dummy
Yala,2017,Kandy,Carrot,174.08,591.7,dummy
Yala,2017,Kurunegala,Carrot,176.6,235.4,dummy
Yala,2017,Matale,Carrot,184.42,550.4,dummy
Maha,2017,Nuwara Eliya,Carrot,177.98,278.9,dummy
Maha,2017,Badulla,Carrot,173.24,404.5,dummy
Maha,2017,Kandy,Carrot,173.4,342.6,dummy
Maha,2017,Kurunegala,Carrot,161.5,368.4,dummy
Maha,2017,Matale,Carrot,165.41,264.2,dummy
Yala,2018,Nuwara Eliya,Carrot,163.71,342.9,dummy
Yala,2018,Badulla,Carrot,159.39,572.5,dummy
Yala,2018,Kandy,Carrot,152.15,425.0,dummy
Yala,2018,Kurunegala,Carrot,151.12,267.0,dummy
Yala,2018,Matale,Carrot,140.45,427.9,dummy
Maha,2018,Nuwara Eliya,Carrot,168.67,278.9,dummy
Maha,2018,Badulla,Carrot,177.0,518.5,dummy
Maha,2018,Kandy,Carrot,182.01,384.0,dummy
Maha,2018,Kurunegala,Carrot,179.64,446.7,dummy
Maha,2018,Matale,Carrot,183.44,240.8,dummy
